event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
3635,GMM,False,False,True,False,True,False,False,False
3637,GMM,False,True,False,False,False,False,False,False
3638,GMM,False,False,False,False,True,False,False,False
3639,GMM,False,False,True,False,False,False,False,True
3641,GMM,False,True,False,False,False,False,False,False
3646,GMM,False,False,False,False,True,False,False,False
3647,GMM,True,False,False,False,False,False,False,False
3648,GMM,False,False,False,False,True,False,False,False
3649,GMM,False,False,True,False,False,False,False,False
3650,GMM,False,True,False,False,False,False,False,False
3651,GMM,False,True,False,False,False,False,False,False
3652,GMM,False,False,False,True,False,True,False,False
3655,GMM,False,False,False,False,True,False,False,False
3656,GMM,False,False,False,False,True,False,False,False
3657,GMM,False,False,False,False,True,False,False,False
3659,GMM,False,False,False,False,True,False,False,False
3663,GMM,False,False,True,False,False,False,False,False
3665,GMM,False,False,False,False,True,False,False,False
3666,GMM,False,False,False,False,True,False,False,False
3667,GMM,False,False,False,False,True,False,False,False
3669,GMM,False,True,False,False,False,False,False,False
3671,GMM,False,False,False,False,True,False,False,False
3672,GMM,False,False,False,False,True,False,False,False
3673,GMM,False,False,True,False,False,False,False,True
3674,GMM,False,True,False,False,False,False,False,False
3675,GMM,False,False,False,False,True,False,False,False
3677,GMM,False,False,False,True,False,True,False,False
3678,GMM,False,False,False,False,True,False,False,False
3682,GMM,False,True,False,False,False,False,False,False
3683,GMM,False,True,False,False,False,False,False,False
3684,GMM,False,False,False,False,True,False,False,True
3686,GMM,False,False,True,False,True,False,False,False
3687,GMM,False,False,False,False,True,False,False,False
3688,GMM,False,False,True,False,True,False,False,False
3689,GMM,False,False,True,False,False,False,False,False
3690,GMM,False,False,False,False,True,False,False,False
3691,GMM,False,False,False,False,True,False,False,False
3693,GMM,True,False,False,False,False,False,False,False
3694,GMM,True,False,False,False,False,False,False,False
3695,GMM,False,False,False,False,True,False,False,False
3697,GMM,False,False,False,False,True,False,False,False
3699,GMM,False,True,False,False,False,False,False,False
3700,GMM,False,False,False,False,True,False,False,False
3702,GMM,False,False,False,False,True,False,False,False
3703,GMM,False,False,True,False,False,False,False,False
3704,GMM,False,False,True,False,True,False,False,False
3705,GMM,False,False,True,False,True,False,False,False
3706,GMM,False,False,True,False,False,False,False,False
